Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Normal,Chrome 123.0.6312.86,,,04-04-2024 12:34:16,04-04-2024 12:34:48,31.372s,PASSED
,,,,,,,
Test Cases/Register - With Existing Email,Chrome 123.0.6312.86,,,04-04-2024 12:34:17,04-04-2024 12:34:25,8.605s,PASSED
"openBrowser("""")",Chrome 123.0.6312.86,,,04-04-2024 12:34:17,04-04-2024 12:34:19,1.958s,PASSED
"navigateToUrl(""https://automationexercise.com/"")",Chrome 123.0.6312.86,,,04-04-2024 12:34:19,04-04-2024 12:34:22,2.918s,PASSED
"click(findTestObject(""Object Repository/Register - With Existing Email/Page_Automation Exercise/a_Signup  Login""))",Chrome 123.0.6312.86,,,04-04-2024 12:34:22,04-04-2024 12:34:24,1.744s,PASSED
"setText(findTestObject(""Object Repository/Register - With Existing Email/Page_Automation Exercise - Signup  Login/input_New User Signup_name""), ""Filbert Bojinov"")",Chrome 123.0.6312.86,,,04-04-2024 12:34:24,04-04-2024 12:34:24,0.331s,PASSED
"setText(findTestObject(""Object Repository/Register - With Existing Email/Page_Automation Exercise - Signup  Login/input_New User Signup_email""), ""filbert.bojinov@katalon.com"")",Chrome 123.0.6312.86,,,04-04-2024 12:34:24,04-04-2024 12:34:24,0.236s,PASSED
"click(findTestObject(""Object Repository/Register - With Existing Email/Page_Automation Exercise - Signup  Login/button_Signup""))",Chrome 123.0.6312.86,,,04-04-2024 12:34:24,04-04-2024 12:34:25,0.962s,PASSED
"verifyElementVisible(findTestObject(""Register - With Existing Email/Page_Automation Exercise - Signup  Login/p_Email Address already exist""))",Chrome 123.0.6312.86,,,04-04-2024 12:34:25,04-04-2024 12:34:25,0.154s,PASSED
,,,,,,,
Test Cases/Login - Incorrect,Chrome 123.0.6312.86,,,04-04-2024 12:34:25,04-04-2024 12:34:32,6.280s,PASSED
"openBrowser("""")",Chrome 123.0.6312.86,,,04-04-2024 12:34:25,04-04-2024 12:34:26,0.768s,PASSED
"navigateToUrl(""https://automationexercise.com/"")",Chrome 123.0.6312.86,,,04-04-2024 12:34:26,04-04-2024 12:34:29,2.811s,PASSED
"click(findTestObject(""Object Repository/Login - Incorrect/Page_Automation Exercise/a_Signup  Login""))",Chrome 123.0.6312.86,,,04-04-2024 12:34:29,04-04-2024 12:34:30,1.299s,PASSED
"setText(findTestObject(""Object Repository/Login - Incorrect/Page_Automation Exercise - Signup  Login/input_Login to your account_email""), ""halohbrty@katalon.com"")",Chrome 123.0.6312.86,,,04-04-2024 12:34:30,04-04-2024 12:34:31,0.290s,PASSED
